query_id,query_type,roman_urdu_query,gold_passage_id,top_retrieved_passage_id,top_retrieved_title,category,cause,affected_system,possible_future_improvement,categorization_status
raabta-002,informal_spelling,mshil shokd kia hy,1020118-p0000-a10a4718d3a4,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,Roman spelling mismatch,The gold passage was absent from the final top 10 for this informal_spelling query.,QueryBridge + BM25 + dense + RRF + reranker,Learn spelling variants from reviewed Roman-Urdu pairs.,rule_assigned_requires_human_review
raabta-005,urdu_english_code_switching,what is lndo,102535-p0000-8f8e2d9d9e58,871961-p0001-cb2ad96955b7,راجہ بھوج بین الاقوامی ہوائی اڈہ,code-switching failure,The gold passage was absent from the final top 10 for this urdu_english_code_switching query.,QueryBridge + BM25 + dense + RRF + reranker,Detect language per token and preserve English entities/terms.,rule_assigned_requires_human_review
raabta-011,highly_noisy_roman_urdu,bhadri kia h,931572-p0000-bf4bdd9acf90,1036361-p0009-a80f70416c69,لدھےخیل,excessive spelling noise,The gold passage was absent from the final top 10 for this highly_noisy_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Add a confidence-aware character-level normalizer.,rule_assigned_requires_human_review
raabta-009,clean_roman_urdu,sif almlok (ktab) kya hai,516777-p0000-9642ab95231d,142255-p0018-b92f15685d41,مبارکپور,irrelevant retrieval,The gold passage was absent from the final top 10 for this clean_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Improve hard-negative training and corpus-aware term weighting.,rule_assigned_requires_human_review
raabta-006,named_entity,rangr ke bare mein batao,430693-p0000-c3555ae52b64,674054-p0008-4a5a52b731a0,بھارتی سنیما میں آئٹم نمبروں کی فہرست,named-entity mismatch,The gold passage was absent from the final top 10 for this named_entity query.,QueryBridge + BM25 + dense + RRF + reranker,Add alias tables and entity-aware candidate generation.,rule_assigned_requires_human_review
raabta-007,short_query,thiodor momsn?,276406-p0000-b71d162fb1f6,347762-p0017-3f4d0889d7cf,سائنس کی شاخوں کا اشاریہ (بلحاظ حروف تہجی),short ambiguous query,The gold passage was absent from the final top 10 for this short_query query.,QueryBridge + BM25 + dense + RRF + reranker,Add clarification or conservative query-context expansion.,rule_assigned_requires_human_review
raabta-004,abbreviated_roman_urdu,soidn min nsaiit k bare me btao,1015449-p0000-add610878cb2,434067-p0017-d28ad87ffb4e,نمر باقر النمر,Roman spelling mismatch,The gold passage was absent from the final top 10 for this abbreviated_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Learn spelling variants from reviewed Roman-Urdu pairs.,rule_assigned_requires_human_review
raabta-045,urdu_english_code_switching,what is khalstan kmando fors,557977-p0000-7fd1b7ab2076,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,code-switching failure,The gold passage was absent from the final top 10 for this urdu_english_code_switching query.,QueryBridge + BM25 + dense + RRF + reranker,Detect language per token and preserve English entities/terms.,rule_assigned_requires_human_review
raabta-019,highly_noisy_roman_urdu,rhim jroli kia h,723664-p0000-524624e2a42a,924108-p0005-c9d063f3821f,کھرل عباسیاں,excessive spelling noise,The gold passage was absent from the final top 10 for this highly_noisy_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Add a confidence-aware character-level normalizer.,rule_assigned_requires_human_review
raabta-041,clean_roman_urdu,tm tiktr kya hai,1053710-p0000-9ac7fb430d93,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,irrelevant retrieval,The gold passage was absent from the final top 10 for this clean_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Improve hard-negative training and corpus-aware term weighting.,rule_assigned_requires_human_review
raabta-014,named_entity,olim aol bksi ke bare mein batao,104609-p0000-355f707b4f0b,1075717-p0001-e1783c9df2e3,لولو جونز,named-entity mismatch,The gold passage was absent from the final top 10 for this named_entity query.,QueryBridge + BM25 + dense + RRF + reranker,Add alias tables and entity-aware candidate generation.,rule_assigned_requires_human_review
raabta-008,slightly_ambiguous,ghir snfi zban kya,950764-p0000-4d49d3f8afd3,1073664-p0007-15267d05d7c7,پنجاب ہیلتھ کیئر کمیشن,short ambiguous query,The gold passage was absent from the final top 10 for this slightly_ambiguous query.,QueryBridge + BM25 + dense + RRF + reranker,Add clarification or conservative query-context expansion.,rule_assigned_requires_human_review
raabta-010,informal_spelling,aithopiaii kilndr kia hy,820891-p0000-e7f2ba7b0975,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,Roman spelling mismatch,The gold passage was absent from the final top 10 for this informal_spelling query.,QueryBridge + BM25 + dense + RRF + reranker,Learn spelling variants from reviewed Roman-Urdu pairs.,rule_assigned_requires_human_review
raabta-061,urdu_english_code_switching,what is ros ki srhdin,362979-p0000-95c937131b9e,60521-p0012-325d9ed6a057,ایکونائیٹم نپلس,code-switching failure,The gold passage was absent from the final top 10 for this urdu_english_code_switching query.,QueryBridge + BM25 + dense + RRF + reranker,Detect language per token and preserve English entities/terms.,rule_assigned_requires_human_review
raabta-035,highly_noisy_roman_urdu,kmone kia h,11823-p0000-3bef9f394301,347762-p0005-e8958e7ea04e,سائنس کی شاخوں کا اشاریہ (بلحاظ حروف تہجی),excessive spelling noise,The gold passage was absent from the final top 10 for this highly_noisy_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Add a confidence-aware character-level normalizer.,rule_assigned_requires_human_review
raabta-073,clean_roman_urdu,aosoaldo (ti oi siriz) kya hai,968167-p0000-aa7829962ba6,5988-p0027-dc0bba5eac18,ادریس,irrelevant retrieval,The gold passage was absent from the final top 10 for this clean_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Improve hard-negative training and corpus-aware term weighting.,rule_assigned_requires_human_review
raabta-038,named_entity,aan lain antroio ke bare mein batao,866167-p0000-335081be4d45,48971-p0007-26d1f130bdec,پاک ٹی ہاؤس,named-entity mismatch,The gold passage was absent from the final top 10 for this named_entity query.,QueryBridge + BM25 + dense + RRF + reranker,Add alias tables and entity-aware candidate generation.,rule_assigned_requires_human_review
raabta-016,slightly_ambiguous,hrde kya,554593-p0000-e298d5f78b21,484985-p0000-c6f269950f93,صنفی شناخت,short ambiguous query,The gold passage was absent from the final top 10 for this slightly_ambiguous query.,QueryBridge + BM25 + dense + RRF + reranker,Add clarification or conservative query-context expansion.,rule_assigned_requires_human_review
raabta-012,abbreviated_roman_urdu,qmr alzman aazm k bare me btao,119856-p0000-1e0ce8524b6d,434067-p0017-d28ad87ffb4e,نمر باقر النمر,Roman spelling mismatch,The gold passage was absent from the final top 10 for this abbreviated_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Learn spelling variants from reviewed Roman-Urdu pairs.,rule_assigned_requires_human_review
raabta-069,urdu_english_code_switching,what is aimador kaonti kilifornia,389412-p0000-3dcccbb1b32f,419333-p0000-5cfe1a8448da,کیلیفورنیا کی کاؤنٹیوں کی فہرست,code-switching failure,The gold passage was absent from the final top 10 for this urdu_english_code_switching query.,QueryBridge + BM25 + dense + RRF + reranker,Detect language per token and preserve English entities/terms.,rule_assigned_requires_human_review
raabta-067,highly_noisy_roman_urdu,aslami ikjhti gimz 2005 kia h,917467-p0000-533046e3ba68,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,excessive spelling noise,The gold passage was absent from the final top 10 for this highly_noisy_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Add a confidence-aware character-level normalizer.,rule_assigned_requires_human_review
raabta-105,clean_roman_urdu,tarikh alsodan kya hai,63926-p0000-4b96e1ff8983,1088673-p0011-55ddeac14c23,سراج الدین ندوی,irrelevant retrieval,The gold passage was absent from the final top 10 for this clean_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Improve hard-negative training and corpus-aware term weighting.,rule_assigned_requires_human_review
raabta-046,named_entity,gale krkt klb ke bare mein batao,1047964-p0000-dfcb155d730c,924108-p0005-c9d063f3821f,کھرل عباسیاں,named-entity mismatch,The gold passage was absent from the final top 10 for this named_entity query.,QueryBridge + BM25 + dense + RRF + reranker,Add alias tables and entity-aware candidate generation.,rule_assigned_requires_human_review
raabta-031,short_query,mqalat alaslamiin?,1018513-p0000-a80a14a20b64,1088673-p0011-55ddeac14c23,سراج الدین ندوی,short ambiguous query,The gold passage was absent from the final top 10 for this short_query query.,QueryBridge + BM25 + dense + RRF + reranker,Add clarification or conservative query-context expansion.,rule_assigned_requires_human_review
raabta-018,informal_spelling,dnish lal iado kia hy,867603-p0000-58fc7fcbe12d,575106-p0000-e88332a878eb,لال بہادر شاستری بین الاقوامی ہوائی اڈا,Roman spelling mismatch,The gold passage was absent from the final top 10 for this informal_spelling query.,QueryBridge + BM25 + dense + RRF + reranker,Learn spelling variants from reviewed Roman-Urdu pairs.,rule_assigned_requires_human_review
raabta-093,urdu_english_code_switching,what is hidr ltifian,1047398-p0000-a93a43397ea2,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,code-switching failure,The gold passage was absent from the final top 10 for this urdu_english_code_switching query.,QueryBridge + BM25 + dense + RRF + reranker,Detect language per token and preserve English entities/terms.,rule_assigned_requires_human_review
raabta-075,highly_noisy_roman_urdu,chaina taon sdni kia h,1038543-p0000-634625aee032,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,excessive spelling noise,The gold passage was absent from the final top 10 for this highly_noisy_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Add a confidence-aware character-level normalizer.,rule_assigned_requires_human_review
raabta-121,clean_roman_urdu,qlah bjnot kya hai,966006-p0000-5401ee545ffa,933246-p0001-8b1bc0ac87cd,ثناء اللہ امرتسری کی کتابوں کی فہرست,irrelevant retrieval,The gold passage was absent from the final top 10 for this clean_roman_urdu query.,QueryBridge + BM25 + dense + RRF + reranker,Improve hard-negative training and corpus-aware term weighting.,rule_assigned_requires_human_review
raabta-070,named_entity,hbib alnjar ke bare mein batao,9066-p0000-fea2720ed288,1073664-p0007-15267d05d7c7,پنجاب ہیلتھ کیئر کمیشن,named-entity mismatch,The gold passage was absent from the final top 10 for this named_entity query.,QueryBridge + BM25 + dense + RRF + reranker,Add alias tables and entity-aware candidate generation.,rule_assigned_requires_human_review
raabta-032,slightly_ambiguous,hajkn sialomh kya,29712-p0000-e45989236cab,1088673-p0010-db9a600b4fa2,سراج الدین ندوی,short ambiguous query,The gold passage was absent from the final top 10 for this slightly_ambiguous query.,QueryBridge + BM25 + dense + RRF + reranker,Add clarification or conservative query-context expansion.,rule_assigned_requires_human_review
